group_uuid,group_name
19f9b6b2-02bf-4018-ae12-ed619d81571a,National Fire Protection Association (NFPA)
d1f32bdd-2581-4532-957b-cef19ec0bd21,Ilford Imaging Switzerland GmbH
59b0f28d-6d0b-4542-8979-bbeaca115abd,Hull
27a4a8ab-b62c-4e38-835f-92f7f0b090c8,J.L Hamburger
c8add100-e4a8-4be8-bd2c-ecd073194095,Alois Martan
49715e42-8630-4b06-8d7a-53c6dd64c219,Bibbiena
04241a7f-ad59-48f2-881d-e1f0f823e9f8,R. Fullam
4ecf6a96-54f8-4790-8c55-4655ffdb7bd8,La Campagnie des Ocres
78906f8e-e687-42f0-8fb6-b1972ba80b37,Avecia
58b336ba-e18b-49ce-9c91-97284890ffbd,"Tong Ren Tang Pharmacy, Beijing"
3605096f-bbc7-44b2-bdae-840a267cf497,"Polysciences, Inc."
ac052912-48ba-42fe-8b9c-0c82ea8b93ce,Mrs. Gooch's Natural Foods
8edec299-50bb-4d30-95ab-e6f7b4024179,Zimmerman
8ed6c7c0-cf38-46cb-bde7-2f933f09bac2,LA State
bfd05c32-ecbf-4937-ba5a-f105c6959a98,Sanford Corp.
c041b240-601c-4217-8b78-7793c3c6b431,Sigma Chemical Company
f7a4f651-8c76-40d6-b5b6-1f97063a786f,Brico
9c9ce173-9566-4330-9324-82e8809de263,Ilford Limited
49471e83-cf29-4177-9309-2b02c6ee219f,Nanda Wickramasinghe
2203f6e2-2f6e-47e1-96d9-55fa82789c54,Panpastel
21e78a1f-1c52-45f5-9f9a-7d6f0198c78d,Gamblin Artist Colors
b3eb611a-2137-4fcb-9aaa-d02c065b8a35,Verfmolen 'De Kat'
ab1a59ef-9485-48aa-8439-445dc66fafe9,"Permanent Pigments, Inc."
05064833-5bdc-4738-b718-f65ab0697bef,Niagara
dc6c4ca3-e06b-4f94-ab75-1711d8a636ed,JPGM Dec Arts Conservation
97b4474e-4ddf-4f44-b458-079307ee5556,"Indio Products, Inc."
dfd2a9b7-f253-45b3-80ed-9de78cf5e041,3M Italia S.P.A.
7061755a-5f9a-40c3-b45b-4f3345f0ad74,Ellis & Everard
dba322e7-8e19-4e55-8f90-433eb6dbc81d,"Wei T'o Associates, Inc."
ecb0153d-c029-48bd-b3ed-ff5d5a255337,Flying Eagle Oil Colours M512
ce1c13af-2adb-48c0-a436-6946a0365882,Fabbriche Riunite Metalli
0a84c07d-138c-41e9-be15-b4b114891ae0,Harman Technology Limited
0658a821-647e-45cb-9620-11fdc2030e9d,Charles Trentelman
f253dd8e-827e-4ec4-9815-2d717129eec1,H. Schmincke & Company
027d5987-a0d1-4fb3-9c8d-6fea9361ab68,Sue Gatenby
e3a212ca-da38-40a4-b1cd-3bdaa08fa97b,Lukas
8ad18b1d-a2db-44af-9170-e2c36651312d,CPC Int'l Inc. (successor to T. Kingsford & Son)
33163cf5-54f8-408e-ac3d-db8d5a75ff85,Rohm & Haas
38ba07e2-cb45-438a-8d96-4de7b2edcf48,David Davis Artist Materials & Services
43aede8f-07ea-4ac2-921d-80787657c2ad,"Scientific Polymer Products, Inc."
36685c75-d96b-4bad-a80c-390d2c28710a,Ripon Microslides Laboratory
93c83ca6-64d2-43b4-b5cd-cca0e3695038,Binney & Smith
09744f4c-bbf7-4303-86e7-9b4da3d48866,Billings & Stover
2db20330-cfb5-4b32-b73b-b0ad850f555d,Acrilex Tintas Especiais
47fb76db-72c3-470a-96a9-b1b8c9d9d095,Pelikan
727fd676-16a0-428c-a452-595d07a8dc4b,Zecchi
ba60eaf7-6c56-44fb-a7e8-8d16f3037459,Liquitex Artist Materials
152730cd-ef56-42dc-8652-8d39d0959265,Testfabrics Inc.
466a2eaa-a401-4cad-ac9c-596e16f361c1,Canadian Conservation Institute
a5bda1ef-6e4c-44ca-9f6d-bf3f772df66e,"Roy Trop. Inst., Amsterdam"
e07b692d-f538-49de-a9b5-5470f35fa767,C. Stavroudis
08d7e749-8ef3-4652-8c5f-59b860e0cad5,"China Anhui Ink ""Xin Xian, Lao Hu Kaiwen"" Ink factory"
a2ae4cac-a644-40f2-86c0-00d4b5064355,Rockwool Manufacturing Co.
ffa0b557-817f-4edc-a498-70a7389cf8f6,Kodak Limited
edb48f26-cafc-4fb4-9ed8-0ab6e6bb0f92,"Dept. store on Wangfujing St., Beijing"
c68361b8-6f90-4a7e-b5ec-6e4e766fc824,"Farm in Dunhuang, China"
20bd8696-b16f-444f-83ce-78d6d6e9d742,Eimer and Amend
c4932a51-ecf2-4926-9f6d-5b34ce07b2a2,Tolvebra SA
2b070add-0304-43c0-ac33-ac71382c97f1,The Italian Art Store
9a90a2a1-b397-4dfb-9685-9453ef6ee699,Ninon
b67ce9a4-55f0-4ee8-9c0b-f168b32bb8ea,K-Line
58242f22-3756-41e4-b833-f818f590ae68,Polaroid Corporation
a7cf9bbe-6a85-4f96-b956-657e35dac704,Forte Photochemical Co.
66d84c63-1a46-4a0a-a2f3-ea6d772cdd45,Clariant
6227829a-3fe7-4aa8-bc52-a92278548bce,Berk Ltd.
1b90b5cc-5570-4eb0-bfc2-f0d87e826119,Phillips
b6aa5240-d8c4-4bc7-a31c-d7b9b839ef71,M. Bishop
4cdc9dc8-30be-4423-ac59-a92b6a797851,King Chong Hong
d30f8a38-98f9-4a78-8ff5-3aecaa7cb58b,Canadian Kodak Co.
bee82cf9-2824-46c3-8a4f-9700a0a6a988,Swift and Company
af690254-9cfa-4039-8506-972549805fe9,Shelton Turkey Ranch
8099abd7-a4e2-474d-9158-d717c79f9d8c,Archer Daniels Midland
545fd4ef-1c78-494f-aa3a-b47ebf259003,Baker Chemical Company
c478c273-ff9d-45a9-819c-8fae5fec8381,Rite Aid
a1e29020-7aa4-46da-87bc-556367f423bc,Hero
61e4f910-b8e3-41e1-bbf1-c7a768b86989,Imp. by Pacific Veg Oil Corp
952d22b8-829f-458b-94d9-73bc9dc7036e,Eastman Kodak Co.
ffc4dcae-3323-44b7-985e-31f920875010,Spilbeck
1a1853f2-8f27-4d59-adc5-14b5874dbc56,Buehler Ltd.
50321433-34bd-4eeb-993d-62bfaa228637,IPS Corporation
0f6b3104-cec2-4f59-8171-6135b2cf1271,Buchner & Son
c820b5af-0cd6-48c1-ae3d-685ae84ceab7,Paciosi
a6073ff1-1ada-46e4-8c22-cd27eea1fab1,Istambul
681e8a9c-3bcf-46c9-a7c1-07f4e232e436,Winsor and Newton
1eea764f-b103-4097-877d-882d0e235ea4,J. Claire Dean
762e4fc5-6474-420f-a108-85659825dcfe,Sav-On
e3b1b57c-f118-457c-aab1-66da34be7c26,"Caribou Mine, Boulder, Co"
8faf49f0-b89c-4dc5-a607-5c8129329a3c,Kodak Canada Inc.
59542588-b28b-4655-8818-f20648b7ada4,"Wadsworth, Howland, and Co."
81c87e99-cbb4-4324-8544-8c7ebb09ad75,Forte Photochemical Co. Ltd.
878cd179-0cef-4049-98b4-89f0d26b2eb3,Cachet Fine Art Photographic Paper Co.
d48e5140-ab71-4499-81f5-c9cffbbac9ca,Minox
b0de53af-064b-418f-b1d3-9dcd891a2cf3,Grumbacher
e9b1e400-91d9-4d50-b048-7824e58a7fbd,"National Gallery of Art (Washington, DC)"
69444287-b353-4b19-bbb1-616604314fa7,Kodak Co.
bbf837fd-3d4b-4fc6-aefe-d5b7a4ab4ae4,Farmers Market
51331456-2547-4394-9489-fc26afe6adbf,"U.S. National Park Service, Colorado"
c034b8ad-e12b-4035-aec1-9df4a1882fbb,"Laboratory Chemicals, Frank W. Joel / Bishop''s Stortford / Harts, England"
eaad3ab4-0fec-4029-a4ed-80b515613ead,Alfa Aesar
ebea3f4e-452b-4cf8-ad66-1107aea9dc3e,Utrecht Manufacturing Corp.
26cfd2f8-39bc-43d5-a6d8-2140b9b6ce1b,Theodoros Daris & Co.
2af39ddf-db58-4ae5-b9a0-abb390bf48da,Australian Museum (Materials Conservation)
055c52b5-51c2-47b6-b456-bf1156a683be,GPS Agencies Ltd
aa2d5d1a-fc4e-4bff-b8d6-b1e9b9261a21,GCI Gardens
4e04d4a5-679d-433a-9617-6a9881d857bc,Schmincke / Kremer
80881f25-ebf4-4be6-a79b-321583d1ca57,Cachet
ab210f06-5d3d-4e21-a18d-a2e96bd93391,J. Komsky
f0a43b47-26d3-4418-a88b-5391dad51b04,3M
801772c9-50b9-4090-b2b3-63c84d75135c,Ashley's Art
3b20f22f-e70a-4420-9588-bbe2a460c70d,Omega
673a45e7-4ed4-4f0d-bde3-c71b079e3ca6,Sté des Produits Chimiques
afe4be8a-622f-4fe9-bb85-9bf5c90dd8be,Picreator Renaissance Products
d8916a37-dd7d-4daa-b69f-9a7d963f41b6,Ruth Norton
e997bf13-5da2-401a-b5f1-61a3591556df,Schachinger
778ffc15-2829-4d70-8577-8e3f600dd529,A. Portman; (Imported by: Seed and Feeder Co.)
95a5d13a-21cd-4e30-99bb-063fe69b47ed,Bergger S.A.
dbcb84f0-b25c-405f-938a-bc3fa3df07e0,H. Schweppe
e00baddf-66e9-4e10-8152-1847e0541be9,A. Prouss
d7c00363-5985-4a33-a90f-aaffb572a7de,Qld. Department of Forestry
3de33c11-57d2-473c-8d59-db4c47383a4b,KKK
8f38dff5-0b2c-46f2-86fd-53d5b3b8c254,Agfa Ansco
3072a69d-515a-46d5-9724-8377f78622a9,R. Guilleminot
48a3e068-78f8-44fa-beb7-7b279a65586f,Bodson & Nelis
9e023415-7e55-4b0a-bdf4-59319e2ab686,Gama
6f2fe665-a4b8-4f35-bc92-68bd548f4eb6,Orwo
dd777075-3974-4161-84f3-c702c6ba0f0e,Yasutomo
d1e341fb-ada1-438e-83bc-1fdffc6483fc,Pearl Art and Craft Supply
c2fcd1ad-10f8-4e6f-9fdc-6b3fb06b0881,Beecham Products
2dad99b7-ce97-4f2e-a43e-2f8c8cf1d7ef,"Shiva, Inc."
ce2cbc2b-b3f7-4e5e-b60e-7634505dd0a6,Schilling
92007380-65b3-430f-98a4-2bd8c62c9b50,Speedball Art
926a3255-7480-49fc-b321-ed7545852399,"Golden Artist Colors, Inc."
23a6ac28-72d6-4719-bf34-aed040789810,MACO Photo Products
ea52aaa9-bb14-44e1-825b-38390c4d30e0,Edmund Scientific Corp.
648cfcf3-a5a7-4836-9457-45211342aaac,Kemtec
2058f71c-c1aa-4c68-96ce-135620e77c47,Kodak
fd8eb938-e546-456c-8390-71847c9936b6,Luminos Imaging
4617977d-576d-4da2-b1cf-8fb94db2d788,J. P. Stephenson Artists' Colourman
384dba81-4f78-4ef0-aca1-db45d238edd8,Dupont
8eed6c86-74ac-4ef7-812a-3b5e81724968,Societa Commissionaria di Esportazione
db30da0b-864c-4f46-b3e7-202c9cdbcd25,Meer Corp.
7626137d-41d8-460d-b194-dce9f63f5f95,Hercules Powder Co. Inc.
bda456ae-e182-4928-94ca-9171b9682975,Spencer Kellogg Division of Textron Inc.
0b098e2a-dfc2-4b9c-a8eb-a2eb115ed708,"Hain Pure Food Company, Inc."
71efb5c9-e82c-4cb9-9156-90b70b1e3ce0,Via delle Spado
220ada59-5151-4857-9b65-6579a9d35d7c,"BioSan, New Dimensions Dist."
068b4a70-dd67-4606-951d-7ac4a77aff6f,JPGM Painting Conservation
300ba26b-dd23-4c80-acf2-6d810b6becb3,Darko
38cd69d7-4259-4d36-ad8b-bd956717c3c7,Paintings Conservation
ddaea4cc-b297-49dd-80db-5ef68122cb76,Alchemist
2f9b4605-595f-48b5-9f0d-80c78534be93,Zora's Standard Brand Paint Store
afce3701-44c8-4d04-ae26-4966027b38d8,Larry Dawson
7bf6b3ce-9a09-4ca7-8b93-0740134a150e,Ilford Imaging Switzerland
3414254d-24b9-4b51-8e88-40e2636b57ad,Funakubo Enterprises
0f26453f-c289-48bd-a4f6-9f04a5fb50c1,Designers Dry Colors
ed098dc9-2a9e-4440-833e-c1f66391fda7,Walkden's
4d56c36d-b5fe-448d-8d33-ffdb5910da3f,GmbH & Company
dddec90d-e8ed-44c4-9ac4-475e84c2d7e2,Ilford SA
8e006931-9631-443e-bec3-a9cbd60fdf5d,Matsuda Super Artists' Oil Colours
73de4fe7-23f9-42eb-a9d6-2ec020cf1089,Sunland Orchard
012972d0-55d8-4076-88c1-024f26803497,Eytzinger
e11414ee-5b35-4879-8093-ddb9fc8fe13e,ground by Hamilton
47520950-a8ec-4a3b-9e62-c55d50bfd821,F.lli Maimeri & Company
b85edb97-60ab-45c9-bc71-967b749037fa,Rotary Photographic Co.
14fb3fd3-6242-427d-9d43-74cb43a4b416,Sam Francis Foundation
8475de2b-5079-4cd9-b65f-387e6abdd68c,E. Nelson
152421be-aea3-4a24-be2b-dbdc1a963692,"Cal State Poly Univ, Pomona"
765cbbd8-66d3-41e5-9479-120fef0c97d9,Rowney
e9af2588-f5e4-44c3-92c9-ade6f4f6d387,"from Gilsonite, USA"
3ccf3073-b032-4d02-b2f0-f3d5779498fc,Gamblin Aritists Colors Co.
1ad34057-6f87-4c22-97a8-208e2fe26d5e,FRITZCHE BROS. INC
fbf7a1fb-b1f3-4f7b-901d-c3414c757c7c,Rowney & Company
5eeea7e1-8b4b-4e47-8059-79355bac5bbc,Bayer
d1b1a39b-dffb-4d36-9f8c-146791efba80,Martin F. Weber Co.
69d35211-99e3-43b6-9487-910ae392aa3f,Standard Brands Paint Store
ebd737b9-e4a2-4b41-8227-9d05b3aa82f1,F. Piqué
5148dd12-5a50-40db-a43a-c2df7acce479,Imported by Samrak Chemical Div.
100fc7e9-d23d-4a86-b19c-a294ddec8041,Pictor
a2c72534-e601-4e7e-b954-67ef6e6f35ed,Arista
3d71347a-e41e-48c7-a4e2-af3ffa8ff08c,Excelsior Photographic
0ad4f254-e151-4558-8f80-9cec3b34b4fd,USA Government Printing Office
c32f234d-2dc3-428e-89e8-909a5a01f72a,"Fuji Photo Film, Inc."
5e6c35f4-7a9e-4e08-b29d-a41dd57dc428,Forte
1939af9f-6805-44ad-bb9f-76261b705c25,"C. Roberson & Company, Ltd."
435ec4fe-93f8-4725-8cf1-dc1d10f59ab5,ROUGIE
296f2fdd-90ed-4e6f-bba1-2460b0c63865,Ploton
27884717-94cb-41d1-beec-902de354b431,Los Angeles County Museum of Art
fd1fe6f7-78a7-499d-941b-029001e76f32,Honey Lady
3d7ed6b7-f672-476c-8c3f-d50e129feb2a,GAMA s.p. C. Budejovice
dc4b2e90-2a86-4cd0-9bc5-f51a3a00f590,Syntezia
a981c4ec-07fb-4d9a-9e5c-660dc032b08d,Madderton
79fc3b38-f6d9-4c1e-8e73-231decb55572,Kindt-Collins Company
df0706ae-5713-464e-ba0a-22aa5e223469,McCrone Accessories & Components
08ef3604-caab-4666-a9b0-372f3a25c747,"West Hills, CA"
f0c07e28-5770-4d85-8b18-93a44eadbd18,"Asahi Oil Colours Co., Ltd."
5c1ae4e8-ea69-43f3-80de-49663b9142d5,Advance Solvents & Chemical Corp.
d7ee10aa-eaf0-45b4-add6-0d09a1835d65,Kalle
93c669d9-97da-4e15-ae66-59bc696183f5,Charles Schoettlin
dce6810d-856d-429c-beed-2ff7d5ffb728,BASF
a2f3f277-b9e2-43dd-9534-09b02ff8d5bd,Vendorama
a223a9c2-c512-4941-87ce-118988260d47,Dick Blick (J. Noble)
1fcee023-fb51-49cf-a406-c33c3bfecb16,Utrecht Artists' Materials
0883c589-4b5d-449e-9a7a-3dcce9a0dc8c,Overtone Labs for Durachem
383bee39-caf8-4039-9bc2-ee399da7aa07,Orchard
edd7d271-d578-48cc-ada7-bd300cfe4a58,C and P Co
13329c92-77d7-436d-b077-3fc71882bdd9,Roemberpou
71b7d836-20ae-4651-93e1-960998f5a34c,Delta Tech. Coatings (for Shiva)
5b05a4ae-7853-4dc7-a971-31a5787d514e,American Hoechst Corp.
d236bb86-c55b-4f43-9053-2dbf57d9ea16,Sun
a3c3758c-0dc4-45e3-b618-b91c5de1d543,Holbein Artist Materials Co.
54b4239b-634b-4322-a658-dcb48283df4b,The Hygenic Corporation
e1043aa1-d0d3-410f-9c36-16b1058490bd,Ansco
ed9626b9-aea1-48ba-bd12-dd92ec026a7f,Union Rubber Inc.
628564d8-fbc0-4cd9-a4e3-850c98a321ac,Siphon
4270de52-91eb-47d3-a6df-d8cad24ea317,LA County Arboretum
248a0db3-239d-41c2-9613-389c655e4591,Efke
442874bc-36b4-4f5c-86da-9852526cd5ad,Norganic
9d7a247d-a966-4816-ae53-1b92a612ca6c,Hatfield's Color Shop Inc.
199f6769-7276-4a56-9e21-c1f0dbcd25fd,"Matheson, Coleman & Bell"
83afd23e-24b9-4459-b403-48c013abd3ae,Behlen
5b8a55df-6be8-4964-93da-c9b06e59557a,Paterson Group International
bc725ca7-741c-4f9c-a1a9-9801b47e4896,"U.S. Customs Lab, Long Beach"
e33d6c14-65be-4bf2-96bb-a7df726da2a7,Bocour Artist Colors
18806f22-2c70-462f-a54e-213f79e02030,Sherwin Williams Chemicals
95617c56-e721-45e1-863c-1a366001deea,C. Roberson and Co.
2c6921ab-2f89-49ba-bbe2-8a98a70c4a66,Blue Record Regularly
1d11326a-6e02-4959-a802-c1692687b85b,P. Oliveira
cef2401f-37d5-4a3d-b0be-bd6ef0f29dfe,Martz Paper Company
4be73588-e7bc-43c1-970d-04595b715f1d,"Leon Frenkel, Ltd."
b74fb0e9-55d5-438c-a4c2-d9e39129ab4a,Konica Corporation
9b5fad58-742c-422c-8133-90aa8d2c5bd3,Landscape
2fc08f70-7ca9-47cc-99cf-e38e983cfee8,Dassonville Co.
cb1c1678-fa19-422b-a694-3f82cde9f80d,"Royal Crown Enterprises, Inc."
845a43e0-fe1c-4ac3-a61d-43274faa3a46,Fernand suarez
aa1007a8-536c-4ead-9433-b2cca55fbc95,"Osco Drug, Inc."
ea0332b2-2bf0-479e-9c1f-bc58aff59888,"Artist's Choice; Riley Bower, Inc."
d4e52062-b845-4139-89e6-76df19b21065,August Ruhl
e6883de9-22cf-4a0d-9b6d-4a4384058afc,Sterling
388cfe08-5482-4dcd-af6c-baf6ef730ac1,"McCormick & Company, Inc."
015a4dec-274a-443f-823f-ff97c4055a4b,A.B.C.
4a3ca37a-fab9-4e48-9638-79a43f6f38d7,"ICI Americas, Inc. (Uniqema)"
88ce94e6-e228-433a-a6b8-5a4dd2457a48,Dakota Matrix Minerals
a8da30de-47f8-4087-93e9-47803f4f40d1,Engelhard
06d1ca85-694d-47bf-b63b-fd3f25e3edd6,"Bent Eshol, Royal Danish Academy of Fine Arts"
2a968b13-d27a-401d-861f-a72e403cdd7d,J. Noble
83be9fd3-c2c1-4470-b6ba-f5aad604adb9,"Permutit Company, New York"
c497361a-60d7-4c0e-8dfa-f36f02d47409,Felsinea Colori
382e0a9d-2c30-4c82-9ebd-a039afacc4ce,Heng Produce
0a945dc1-2021-438a-8687-27ae7c9bf584,"New Dimensions Dist, AZ"
d852ef52-1c57-4ccd-aea0-ab2873ccd41f,Le Franc & Bourgeois
e3bc0e8e-bd36-4f0c-b61a-636ced50528e,BeeCee Honey Co.
d0cb8e19-c5a5-4e29-8248-9e9d2272f741,Johannes & Co. (Private) Ltd.
ad4983c6-4c20-435f-8b4e-40bcfb25225a,Jethabhai Hirji & Company
aa2e4de7-0a6d-4bd8-8a56-70ab38176408,Ferrania Imaging Technologies
6de1d347-911b-422d-a2a0-c01811d7d85f,Wacofin / Heinrich Wagner
77fa5f48-7278-4b26-8c0a-d2969d9a72e8,Lascaux
c79c58aa-c45d-4426-882a-f383a6ece87b,RAINPEG
e58473b5-4209-4c4b-87d3-64bc63a5fbf6,"Salis International, Inc."
461c3041-9681-415b-b35c-524247a69b77,Agfa Photo
ba6ddc23-dd24-4162-a5a2-32afda5654f0,World Timbers
7de2cc98-6682-43ae-b594-62dbbba684d5,S (Chinese)
84c8f26e-1ee7-435a-afef-3482ee417735,"Face to Face Gallery, Beijing"
388e2585-ae07-48c6-af78-a21ff75cd02d,P A Hodges
896845ac-5b4d-490d-97c0-21ad31343821,Cappelle
e9954005-8413-4566-a71d-a5df9f088133,Standard Brands
5e8c676d-83de-4f5d-a1ad-196e1ce61afa,Maimeri
e14a5857-1f31-4299-8348-be1e02c6238a,Loriva
8ab97d72-b278-4318-9889-ad941a7ec7fc,Pallares Hermanos S.A.; (Imported by Schroeder Bros of CA)
9de01eed-4af8-4dce-947b-4b53152d35f8,Americana Goods returned
6c3d2961-3e41-4e4f-816e-e512328894bb,Usine Mathieu
8204d7db-b446-4d93-b3e3-fef49040d473,Ilford
86eee1be-4521-4177-a229-46d6ea777953,Walgreen Co.
736e9de1-93bb-4daf-badc-3655a798dac5,Kono
54ba81d2-c7ee-44b8-9e1c-d72b1559c950,Aldrich Chemical Company
76be1918-1445-4199-8567-b4c5f9b6de48,Asahi
9e140a87-a248-4ca0-a855-865934d28195,HY Pigments
7e6a8f13-ce02-4b38-99a2-6b6867af8893,Glyco Products Company
bbe752bc-9482-482f-adc2-715c4a45ea18,Kunstler
09a6200a-3ef0-4aa2-8f96-ce39414cb7c2,Standard Brand Paints
ec35bd83-09b2-4297-9a11-5c2b9e884c17,Tropical Apiary
b1797ae7-5117-4ca3-b70b-26bc05b9af48,Robert Komarek
17f03d0d-ff7f-4020-aca7-446b962ce038,Carbide & Carbon Chemical Corp.
3bf1fe24-2b6f-4ace-b05a-5ee7afe386a6,Siphon Art
b0068339-2123-442e-b5cd-572889fb1db3,"Ceratonia, S.A.; (Imported by Dycol Chemicals Inc.)"
709c7ed2-2ff8-46c1-bdec-96c14b791cf5,Merrimac Chemical Company
5aa9e0e7-4dc8-41fa-887c-4e5f54a509ac,Lucky
d7951f51-f2af-4d63-a188-89f20451945a,Castelfranco
5e879bbd-86b4-49b9-ab50-3331e71237b6,Zora's
d6729d41-6137-4922-99bc-d2432dea1d49,Hays
539b22b8-b11c-40fd-ae97-627ab35dcf3c,Lefranc
3a67153f-69b5-495d-9db5-fa940cf73e4f,L. Souza
51e306b2-8734-400c-8f9e-3c5e39eaa05f,Albion
611ff9c0-41b2-4e0f-b3a1-61b9ec8ea2f0,E. I. du Pont de Nemours & Co.
904d8112-dd71-4064-ba1c-92fa5c4305f4,Florasil Produtos Vegetais Farmaceuticos Ltda.
351caf48-1488-4b4e-b1e8-7ab3d7f910d2,"Calavo Foods, Inc"
e93e7b00-3eef-41ab-b03a-d315f561ea2b,Sanyo
87c19fe6-1535-44e7-85e3-3dc2f4986902,Brosse-Blaireau
d22344a8-f09a-4023-bc7e-89b1fdb3884f,"Harrington Brothers, Ltd."
8029dc6c-b145-4d7c-aabd-f69a7b664ee5,Ilford Anitec SA
a9239a04-d8d7-462b-abca-2f3eaf286cc2,Cyber Graphics Corp. (Oriental)
67c06ef7-1ced-440d-bcf3-1127a52ec294,"Michel Garcia (Lauris, France)"
927e07fd-fc9e-4a2e-8202-1f19b4ba0473,PV Pharmacy
0c00fd99-e8bd-438a-b766-07e65a2aaa81,American Aristotype Co.
870f90b9-8166-460b-80aa-39188d32b08e,"Col. Prod. Adv. Bureau, Imp. Inst."
768f4b91-7fbd-447a-8f93-8abc720394d7,Gleck & Company
95328ff4-98df-487b-878d-761ee4bcc840,Whiteworth
26e209e6-cc68-4a3b-9664-b61992ed1342,City Chemical Corporation
dc4b66d7-52bd-4c24-a8f4-2914ff0afc96,Sureguard
8f75f8de-d618-478b-b87b-432957abc083,Fisher
72e036b9-61c5-4015-a2f9-40c52004951b,Acrilex Tintas Especiais S/A
51d3c742-7277-4153-928b-bd510395c7fe,B&H Photo Video
8e6f369c-9a69-4ec1-a748-2c2a59aa5a01,Constantino Reyes Valerio
1dc9661b-8b00-48d5-a8ee-914c15a1bffc,Magruder
a5422e79-0ac8-4f2c-91da-691c047565b9,J. T. Baker Inc.
c511d566-a621-44d1-ae3b-43268d553dc6,Clapham's Beeswax Products Ltd
05578d65-e7f7-4f1b-95dd-e18088759a57,Tate Britain
aa3eb107-42ca-46ab-9707-604f8c106ba1,Samuel Cabot Incorporated
0146fbc7-51a8-495b-8805-afd66d0ad6e3,Dilo
02e099d9-9b08-4be2-b61b-7d7b3ecee54a,CARAN D'ACHE NEOCOLOR II
